frame,timestamp,wall_clock_ms,zone,px,py,angle,fov,render_w,render_h,dt_floor_ceil,dt_walls,dt_cast,dt_blit_walls,dt_visplane,dt_entities,dt_tint,dt_upscale,dt_hud,dt_sim,dt_physics,dt_frame_total,fps,strip_cache_size,strip_cache_prev_size,col_cache_size,ent_pool_size,bb_base_cache_size,glyph_cache_size,n_entities_visible,n_entity_billboards,n_deferred_halves,n_slices,c_extension_active
610,1771515503.3061516,6432.390999994823,pawn_shop,5.327,1.314,2.5444,1.0472,480,320,0.778,0.852,0.181,0.671,0.005,0.652,0.001,0.344,1.124,,,3.984,100.0,7584,0,0,0,0,145,14,7,0,120,True
611,1771515503.316298,6442.498099990189,pawn_shop,5.268,1.314,2.5204,1.0472,480,320,0.759,0.843,0.179,0.664,0.005,0.62,0.001,0.304,1.081,,,3.794,100.0,7587,0,0,0,0,145,14,7,0,120,True
612,1771515503.3273,6453.457299998263,pawn_shop,5.208,1.314,2.4884,1.0472,480,320,0.673,0.769,0.156,0.613,0.004,0.591,0.001,0.231,1.054,,,3.5,100.0,7588,0,0,0,0,145,14,8,0,120,True
613,1771515503.338303,6464.531899997382,pawn_shop,5.147,1.301,2.4644,1.0472,480,320,0.671,0.723,0.15,0.573,0.004,0.579,0.001,0.248,1.037,,,3.433,100.0,7589,0,0,0,0,145,14,8,0,120,True
614,1771515503.3493054,6475.417499998002,pawn_shop,5.085,1.301,2.4364,1.0472,480,320,0.657,0.724,0.155,0.568,0.004,0.601,0.001,0.202,1.047,,,3.406,100.0,7589,0,0,0,0,145,14,9,0,120,True
615,1771515503.360308,6486.39939998975,pawn_shop,5.022,1.301,2.4124,1.0472,480,320,0.651,0.752,0.151,0.602,0.23,0.605,0.001,0.266,1.05,,,3.734,100.0,7591,0,0,0,0,145,14,9,1,121,True
616,1771515503.37131,6497.59400000039,pawn_shop,4.959,1.301,2.3884,1.0472,480,320,0.674,0.757,0.157,0.599,0.239,0.641,0.001,0.242,1.034,,,3.768,100.0,7592,0,0,0,0,145,14,9,3,123,True
617,1771515503.3823128,6508.416199998464,pawn_shop,4.895,1.301,2.3644,1.0472,480,320,0.696,0.745,0.155,0.59,0.262,0.653,0.001,0.273,1.051,,,3.868,100.0,7592,0,0,0,0,145,14,9,6,126,True
618,1771515503.3933156,6519.478100002743,pawn_shop,4.831,1.301,2.3404,1.0472,480,320,0.763,0.843,0.184,0.658,0.278,0.678,0.001,0.265,1.046,,,4.057,100.0,7595,0,0,0,0,145,14,9,10,130,True
619,1771515503.4043176,6530.413499989663,pawn_shop,4.766,1.301,2.3204,1.0472,480,320,0.711,0.777,0.164,0.613,0.28,0.686,0.001,0.218,1.029,,,3.877,100.0,7597,0,0,0,0,145,14,9,13,133,True
620,1771515503.4151301,6541.212900003302,pawn_shop,4.702,1.301,2.3044,1.0472,480,320,0.717,0.838,0.177,0.661,0.305,0.755,0.001,0.198,1.042,,,4.034,91.7,7601,0,0,0,0,145,14,9,17,137,True
621,1771515503.4251323,6551.215899991803,pawn_shop,4.639,1.301,2.2924,1.0472,480,320,0.711,0.82,0.183,0.637,0.332,0.79,0.001,0.257,1.05,,,4.141,91.7,7603,0,0,0,0,145,14,9,26,146,True
622,1771515503.4351344,6561.199499992654,pawn_shop,4.577,1.3,2.2804,1.0472,480,320,0.71,0.859,0.192,0.667,0.357,0.827,0.001,0.241,1.039,,,4.212,91.7,7606,0,0,0,0,145,14,9,36,156,True
623,1771515503.4451365,6571.197899989784,pawn_shop,4.515,1.301,2.2684,1.0472,480,320,0.692,0.886,0.202,0.685,0.392,0.895,0.001,0.198,1.034,,,4.281,91.7,7608,0,0,0,0,145,14,9,47,167,True
624,1771515503.455139,6581.204499991145,pawn_shop,4.454,1.303,2.2564,1.0472,480,320,0.694,0.939,0.215,0.723,0.419,0.955,0.001,0.308,1.051,,,4.572,91.7,7610,0,0,0,0,145,14,9,56,176,True
625,1771515503.4651415,6591.2406999996165,pawn_shop,4.393,1.306,2.2404,1.0472,480,320,0.692,0.937,0.228,0.71,0.462,0.949,0.001,0.241,1.052,,,4.519,91.7,7612,0,0,0,0,145,14,9,61,181,True
626,1771515503.4761436,6602.264799992554,pawn_shop,4.331,1.31,2.2164,1.0472,480,320,0.681,0.965,0.239,0.726,0.477,1.022,0.0,0.207,1.04,,,4.575,91.7,7614,0,0,0,0,145,14,9,69,189,True
627,1771515503.4871461,6613.268499990227,pawn_shop,4.268,1.315,2.1924,1.0472,480,320,0.674,1.013,0.252,0.76,0.518,1.115,0.001,0.238,1.041,,,4.791,91.7,7616,0,0,0,0,145,14,9,85,205,True
628,1771515503.4971488,6623.257999992347,pawn_shop,4.206,1.321,2.1644,1.0472,480,320,0.658,1.05,0.267,0.784,0.559,1.218,0.001,0.237,1.034,,,4.942,91.7,7618,0,0,0,0,145,14,9,105,225,True
629,1771515503.5071507,6633.247599995229,pawn_shop,4.145,1.329,2.1364,1.0472,480,320,0.648,1.117,0.283,0.834,0.62,1.328,0.001,0.316,1.065,,,5.314,91.7,7622,0,0,0,0,145,14,9,121,241,True
630,1771515503.5171566,6643.345199991018,pawn_shop,4.085,1.338,2.1084,1.0472,480,320,0.758,1.257,0.349,0.907,0.67,1.381,0.001,0.25,1.05,,,5.565,98.0,7630,0,0,0,0,145,14,9,136,256,True
631,1771515503.527159,6653.380499992636,pawn_shop,4.025,1.348,2.0804,1.0472,480,320,0.725,1.284,0.389,0.895,0.708,1.518,0.001,0.298,1.078,,,5.842,98.0,7634,0,0,0,0,145,14,9,155,275,True
632,1771515503.537161,6663.301599997794,pawn_shop,3.965,1.36,2.0484,1.0472,480,320,0.692,1.254,0.34,0.914,0.722,1.528,0.001,0.18,1.043,,,5.622,98.0,7639,0,0,0,0,145,14,9,165,285,True
633,1771515503.5471635,6673.292199993739,pawn_shop,3.906,1.373,2.0164,1.0472,480,320,0.683,1.212,0.347,0.865,0.731,1.56,0.001,0.236,1.053,,,5.671,98.0,7642,0,0,0,0,145,14,9,167,287,True
634,1771515503.5581663,6683.695200001239,pawn_shop,3.848,1.388,1.9684,1.0472,480,320,0.703,1.258,0.369,0.889,0.748,1.55,0.001,0.222,1.092,,,5.772,98.0,7644,0,0,0,0,145,14,9,171,291,True
635,1771515503.567168,6693.304699991131,pawn_shop,3.79,1.405,1.9284,1.0472,480,320,0.677,1.207,0.343,0.865,0.759,1.568,0.001,0.255,1.075,,,5.735,98.0,7646,0,0,0,0,145,14,9,175,295,True
636,1771515503.5771701,6703.310899989447,pawn_shop,3.733,1.424,1.8804,1.0472,480,320,0.694,1.213,0.357,0.855,0.777,1.565,0.001,0.278,1.085,,,5.811,98.0,7647,0,0,0,0,145,14,9,177,297,True
637,1771515503.5871725,6713.359300003503,pawn_shop,3.678,1.445,1.8204,1.0472,480,320,0.828,1.314,0.393,0.922,0.783,1.594,0.001,0.29,1.088,,,6.102,98.0,7649,0,0,0,0,145,14,9,178,298,True
638,1771515503.598175,6723.581899990677,pawn_shop,3.623,1.468,1.7604,1.0472,480,320,0.705,1.249,0.352,0.897,0.769,1.474,0.001,0.211,1.091,,,5.7,98.0,7652,0,0,0,0,145,14,10,173,293,True
639,1771515503.6071773,6733.432699998957,pawn_shop,3.569,1.494,1.7004,1.0472,480,320,0.728,1.257,0.356,0.901,0.76,1.503,0.001,0.26,1.102,,,5.824,98.0,7655,0,0,0,0,145,14,11,171,291,True
640,1771515503.6172998,6743.476499992539,pawn_shop,3.516,1.523,1.6404,1.0472,480,320,0.677,1.229,0.352,0.877,0.748,1.489,0.001,0.258,1.083,,,5.684,99.0,7656,0,0,0,0,145,14,12,169,289,True
641,1771515503.628302,6754.554400002235,pawn_shop,3.464,1.554,1.5844,1.0472,480,320,0.725,1.241,0.362,0.878,0.739,1.482,0.001,0.252,1.093,,,5.736,99.0,7658,0,0,0,0,145,14,11,167,287,True
642,1771515503.6393049,6765.458099995158,pawn_shop,3.413,1.589,1.5524,1.0472,480,320,0.678,1.168,0.335,0.832,0.743,1.485,0.001,0.276,1.077,,,5.639,99.0,7658,0,0,0,0,145,14,11,166,286,True
643,1771515503.6503072,6776.448199991137,pawn_shop,3.363,1.626,1.5404,1.0472,480,320,0.676,1.185,0.335,0.85,0.75,1.468,0.001,0.288,1.076,,,5.642,99.0,7658,0,0,0,0,145,14,11,169,289,True
644,1771515503.6613095,6787.5351999973645,pawn_shop,3.314,1.666,1.5484,1.0472,480,320,0.674,1.217,0.354,0.863,0.801,1.52,0.001,0.287,1.08,,,5.782,99.0,7659,0,0,0,0,145,14,11,177,297,True
645,1771515503.6723118,6798.477099990123,pawn_shop,3.265,1.706,1.5924,1.0472,480,320,0.678,1.233,0.365,0.867,0.813,1.56,0.001,0.272,1.073,,,5.823,99.0,7659,0,0,0,0,145,14,11,189,309,True
646,1771515503.6833148,6809.448100000736,pawn_shop,3.216,1.747,1.6284,1.0472,480,320,0.665,1.231,0.357,0.874,0.815,1.555,0.001,0.224,1.077,,,5.759,99.0,7660,0,0,0,0,145,14,11,187,307,True
647,1771515503.695317,6820.645200001309,pawn_shop,3.167,1.789,1.6324,1.0472,480,320,0.76,1.348,0.439,0.909,0.858,1.61,0.001,0.317,1.083,,,6.213,99.0,7660,0,0,0,0,145,14,11,189,309,True
648,1771515503.7053194,6831.375900001149,pawn_shop,3.118,1.831,1.6324,1.0472,480,320,0.679,1.241,0.361,0.879,0.829,1.701,0.001,0.322,1.093,,,6.094,99.0,7660,0,0,0,0,145,14,10,189,309,True
649,1771515503.7167497,6842.852100002347,pawn_shop,3.069,1.873,1.6324,1.0472,480,320,0.728,1.303,0.404,0.898,0.842,1.827,0.001,0.25,1.099,,,6.251,99.0,7660,0,0,0,0,145,14,10,189,309,True
650,1771515503.726752,6852.908899993054,pawn_shop,3.021,1.915,1.6324,1.0472,480,320,0.703,1.273,0.389,0.884,0.837,1.784,0.001,0.241,1.082,,,6.117,91.7,7660,0,0,0,0,145,14,10,190,310,True
651,1771515503.7367542,6862.775499990676,pawn_shop,2.973,1.956,1.6324,1.0472,480,320,0.677,1.277,0.373,0.904,0.829,1.825,0.001,0.185,1.075,,,6.069,91.7,7660,0,0,0,0,145,14,9,189,309,True
652,1771515503.7467563,6872.783300001174,pawn_shop,2.926,1.997,1.6324,1.0472,480,320,0.669,1.249,0.378,0.871,0.842,1.901,0.001,0.202,1.072,,,6.133,91.7,7660,0,0,0,0,145,14,9,189,309,True
653,1771515503.7567585,6882.859999997891,pawn_shop,2.879,2.038,1.6324,1.0472,480,320,0.651,1.231,0.362,0.869,0.848,2.041,0.001,0.229,1.085,,,6.279,91.7,7661,0,0,0,0,145,14,9,190,310,True
654,1771515503.7667606,6892.768699995941,pawn_shop,2.833,2.079,1.6324,1.0472,480,320,0.638,1.21,0.357,0.854,0.84,2.074,0.001,0.249,1.071,,,6.277,91.7,7661,0,0,0,0,145,14,9,189,309,True
655,1771515503.7767632,6902.76859998994,pawn_shop,2.787,2.119,1.6324,1.0472,480,320,0.673,1.227,0.351,0.876,0.83,2.207,0.001,0.234,1.074,,,6.442,91.7,7664,0,0,0,0,145,14,9,189,309,True
656,1771515503.7867656,6912.776999990456,pawn_shop,2.741,2.159,1.6324,1.0472,480,320,0.665,1.256,0.36,0.896,0.914,2.457,0.001,0.257,1.086,,,6.842,91.7,7667,0,0,0,0,145,14,9,187,307,True
657,1771515503.7977676,6923.8813999982085,pawn_shop,2.694,2.2,1.6324,1.0472,480,320,0.665,1.229,0.356,0.873,0.845,2.648,0.001,0.245,1.085,,,6.923,91.7,7668,0,0,0,0,145,14,9,186,306,True
658,1771515503.8087704,6934.876600003918,pawn_shop,2.647,2.242,1.6124,1.0472,480,320,0.694,1.266,0.359,0.907,0.836,3.017,0.001,0.238,1.067,,,7.33,91.7,7674,0,0,0,0,145,14,9,187,307,True
659,1771515503.8187726,6944.934999992256,pawn_shop,2.601,2.284,1.5484,1.0472,480,320,0.704,1.273,0.365,0.908,0.854,3.684,0.001,0.272,1.116,,,8.143,91.7,7676,0,0,0,0,145,14,11,194,314,True
660,1771515503.828775,6955.051299999468,pawn_shop,2.557,2.327,1.4884,1.0472,480,320,0.84,1.384,0.421,0.962,0.879,4.325,0.002,0.361,1.178,,,9.283,98.0,7678,0,0,0,0,145,14,11,200,320,True
661,1771515503.8407774,6966.312399992603,pawn_shop,2.513,2.371,1.4684,1.0472,480,320,0.879,1.399,0.436,0.963,0.867,5.13,0.002,0.329,1.142,,,10.061,98.0,7679,0,0,0,0,145,14,11,201,321,True
662,1771515503.85278,6978.2032999937655,pawn_shop,2.468,2.418,1.4604,1.0472,480,320,0.781,1.416,0.452,0.964,0.967,1.756,0.001,0.359,1.139,,,6.676,98.0,7680,0,0,0,0,145,14,10,201,321,True
663,1771515503.8627827,6988.093599997228,pawn_shop,2.434,2.467,1.4364,1.0472,480,320,0.801,1.432,0.464,0.968,0.889,1.752,0.001,0.309,1.115,,,6.537,98.0,7681,0,0,0,0,145,14,10,204,324,True
664,1771515503.8727849,6999.040900002001,pawn_shop,2.409,2.519,1.3884,1.0472,480,320,0.775,1.429,0.462,0.967,0.903,1.806,0.001,0.335,1.151,,,6.724,98.0,7681,0,0,0,0,145,14,11,209,329,True
665,1771515503.8837876,7009.164699993562,pawn_shop,2.392,2.572,1.3044,1.0472,480,320,0.736,1.433,0.46,0.973,0.913,1.819,0.001,0.289,1.089,,,6.487,98.0,7682,0,0,0,0,145,14,11,218,338,True
666,1771515503.892789,7018.975200000568,pawn_shop,2.383,2.626,1.2124,1.0472,480,320,0.732,1.409,0.429,0.98,0.899,1.871,0.001,0.32,1.096,,,6.548,98.0,7684,0,0,0,0,145,14,11,222,342,True
667,1771515503.9047923,7030.154599997331,pawn_shop,2.38,2.681,1.0964,1.0472,480,320,0.696,1.431,0.428,1.003,0.892,1.904,0.001,0.268,1.067,,,6.465,98.0,7685,0,0,0,0,145,14,12,231,351,True
668,1771515503.9147937,7040.958899990073,pawn_shop,2.385,2.735,0.9724,1.0472,480,320,0.682,1.418,0.419,0.999,0.884,1.908,0.0,0.246,1.081,,,6.422,98.0,7687,0,0,0,0,145,14,12,233,353,True
669,1771515503.9257967,7051.953499991214,pawn_shop,2.398,2.789,0.8444,1.0472,480,320,0.658,1.381,0.408,0.972,0.886,1.808,0.001,0.236,1.083,,,6.255,98.0,7687,0,0,0,0,145,14,12,234,354,True
670,1771515503.9357994,7061.936199999764,pawn_shop,2.416,2.84,0.7324,1.0472,480,320,0.643,1.483,0.439,1.044,0.884,1.931,0.001,0.265,1.074,,,6.483,93.5,7689,0,0,0,0,145,14,12,266,386,True
671,1771515503.9468017,7073.013999994146,pawn_shop,2.442,2.889,0.6204,1.0472,480,320,0.67,1.63,0.488,1.143,0.873,2.056,0.001,0.292,1.092,,,6.824,93.5,7691,0,0,0,0,145,14,12,282,402,True
672,1771515503.9568038,7082.956899990677,pawn_shop,2.472,2.934,0.5364,1.0472,480,320,0.722,1.498,0.454,1.044,0.819,1.997,0.001,0.315,1.107,,,6.69,93.5,7692,0,0,0,0,145,14,12,270,390,True
673,1771515503.9678066,7094.000299999607,pawn_shop,2.508,2.976,0.4644,1.0472,480,320,0.718,1.556,0.474,1.082,0.807,2.044,0.001,0.281,1.101,,,6.717,93.5,7694,0,0,0,0,145,14,12,267,387,True
674,1771515503.9788086,7104.974699992454,pawn_shop,2.548,3.016,0.4164,1.0472,480,320,0.655,1.463,0.434,1.029,0.756,1.98,0.001,0.205,1.078,,,6.342,93.5,7696,0,0,0,0,145,14,12,262,382,True
675,1771515503.9898112,7115.927099992405,pawn_shop,2.593,3.053,0.4004,1.0472,480,320,0.764,1.527,0.462,1.065,0.754,2.007,0.001,0.287,1.104,,,6.65,93.5,7697,0,0,0,0,145,14,11,262,382,True
676,1771515504.0008135,7126.90059999295,pawn_shop,2.64,3.087,0.3924,1.0472,480,320,0.662,1.435,0.431,1.004,0.758,1.975,0.001,0.271,1.083,,,6.393,93.5,7697,0,0,0,0,145,14,11,262,382,True
677,1771515504.010816,7136.896900003194,pawn_shop,2.689,3.119,0.3884,1.0472,480,320,0.651,1.438,0.432,1.006,0.77,1.977,0.001,0.219,1.088,,,6.346,93.5,7697,0,0,0,0,145,14,11,262,382,True
678,1771515504.0208182,7146.846399991773,pawn_shop,2.74,3.15,0.3884,1.0472,480,320,0.659,1.488,0.441,1.047,0.767,2.034,0.001,0.237,1.094,,,6.493,93.5,7700,0,0,0,0,145,14,11,270,390,True
679,1771515504.0308204,7156.840600000578,pawn_shop,2.791,3.178,0.3884,1.0472,480,320,0.672,1.468,0.434,1.034,0.785,2.053,0.001,0.278,1.087,,,6.573,93.5,7700,0,0,0,0,145,14,11,268,388,True
680,1771515504.041823,7167.9142999928445,pawn_shop,2.844,3.207,0.3844,1.0472,480,320,0.744,1.552,0.475,1.076,0.773,2.059,0.001,0.278,1.068,,,6.674,94.3,7702,0,0,0,0,145,14,11,269,389,True
681,1771515504.0528257,7178.854899990256,pawn_shop,2.899,3.234,0.3844,1.0472,480,320,0.703,1.481,0.452,1.029,0.767,2.044,0.001,0.256,1.065,,,6.527,94.3,7703,0,0,0,0,145,14,11,269,389,True
682,1771515504.0638282,7189.8526000004495,pawn_shop,2.955,3.261,0.3844,1.0472,480,320,0.751,1.5,0.449,1.051,0.807,2.059,0.001,0.266,1.062,,,6.654,94.3,7705,0,0,0,0,145,14,11,271,391,True
683,1771515504.0748303,7200.903199991444,pawn_shop,3.012,3.288,0.3804,1.0472,480,320,0.746,1.49,0.449,1.041,0.776,2.039,0.001,0.291,1.053,,,6.597,94.3,7708,0,0,0,0,145,14,11,271,391,True
684,1771515504.085833,7211.840799995116,pawn_shop,3.07,3.314,0.3804,1.0472,480,320,0.723,1.459,0.436,1.023,0.795,2.053,0.001,0.291,1.047,,,6.572,94.3,7710,0,0,0,0,145,14,10,272,392,True
685,1771515504.0968354,7222.886499992455,pawn_shop,3.128,3.34,0.3804,1.0472,480,320,0.769,1.633,0.497,1.136,0.794,2.098,0.001,0.277,1.064,,,6.844,94.3,7718,0,0,0,0,145,14,10,273,393,True
686,1771515504.107838,7233.868299997994,pawn_shop,3.187,3.365,0.3804,1.0472,480,320,0.711,1.562,0.455,1.106,0.8,2.087,0.001,0.232,1.056,,,6.656,94.3,7724,0,0,0,0,145,14,10,274,394,True
687,1771515504.1188402,7244.86259999685,pawn_shop,3.247,3.391,0.3804,1.0472,480,320,0.548,1.519,0.446,1.072,0.799,2.062,0.001,0.211,1.056,,,6.41,94.3,7730,0,0,0,0,145,14,9,275,395,True
688,1771515504.1288426,7254.857199994149,pawn_shop,3.305,3.415,0.3804,1.0472,480,320,0.513,1.552,0.443,1.109,0.822,2.005,0.001,0.183,1.038,,,6.314,94.3,7740,0,0,0,0,145,14,9,275,395,True
689,1771515504.1388447,7265.091699999175,pawn_shop,3.364,3.439,0.3684,1.0472,480,320,0.683,1.632,0.44,1.192,0.798,2.041,0.001,0.276,1.052,,,6.691,94.3,7761,0,0,0,0,145,14,9,274,394,True
690,1771515504.1498473,7275.962799991248,pawn_shop,3.423,3.463,0.3484,1.0472,480,320,0.69,1.704,0.444,1.26,0.82,1.996,0.001,0.241,1.046,,,6.702,92.6,7788,0,0,0,0,145,14,9,269,389,True
691,1771515504.1608498,7286.9652999943355,pawn_shop,3.482,3.487,0.3244,1.0472,480,320,0.535,1.665,0.426,1.239,0.806,1.958,0.001,0.276,1.044,,,6.488,92.6,7815,0,0,0,0,145,14,9,262,382,True
692,1771515504.1718524,7297.959899995476,pawn_shop,3.543,3.509,0.2964,1.0472,480,320,0.672,1.589,0.422,1.167,0.797,1.943,0.001,0.286,1.045,,,6.528,92.6,7833,0,0,0,0,145,14,9,258,378,True
693,1771515504.1828547,7308.960099995602,pawn_shop,3.603,3.531,0.2724,1.0472,480,320,0.539,1.595,0.426,1.169,0.757,1.945,0.001,0.232,1.043,,,6.34,92.6,7852,0,0,0,0,145,14,9,255,375,True
694,1771515504.192857,7318.947699997807,pawn_shop,3.664,3.551,0.2604,1.0472,480,320,0.532,1.63,0.43,1.2,0.766,1.903,0.001,0.217,1.053,,,6.306,92.6,7875,0,0,0,0,145,14,9,254,374,True
695,1771515504.2028592,7329.024199993,pawn_shop,3.722,3.561,0.2484,1.0472,480,320,0.563,1.571,0.419,1.151,0.757,1.904,0.001,0.274,1.033,,,6.306,92.6,7893,0,0,0,0,145,14,9,251,371,True
696,1771515504.2128615,7338.926900003571,pawn_shop,3.78,3.563,0.2364,1.0472,480,320,0.508,1.55,0.414,1.136,0.75,1.879,0.001,0.226,1.046,,,6.157,92.6,7911,0,0,0,0,145,14,9,248,368,True
697,1771515504.2248645,7350.217799990787,pawn_shop,3.836,3.559,0.2324,1.0472,480,320,0.751,1.649,0.478,1.17,0.769,1.926,0.001,0.281,1.043,,,6.633,92.6,7925,0,0,0,0,145,14,9,247,367,True
698,1771515504.2328668,7358.432799999719,pawn_shop,3.891,3.549,0.2284,1.0472,480,320,0.534,1.51,0.417,1.093,0.735,1.859,0.001,0.188,1.048,,,6.065,92.6,7938,0,0,0,0,145,14,9,242,362,True
699,1771515504.2438686,7369.9294999969425,pawn_shop,3.946,3.535,0.2284,1.0472,480,320,0.524,1.478,0.415,1.063,0.731,1.885,0.001,0.271,1.056,,,6.138,92.6,7948,0,0,0,0,145,14,9,242,362,True
700,1771515504.253871,7379.878599997028,pawn_shop,4.0,3.518,0.2284,1.0472,480,320,0.497,1.403,0.404,0.999,0.717,1.874,0.001,0.226,1.039,,,5.951,96.2,7954,0,0,0,0,145,14,9,237,357,True
701,1771515504.2648735,7390.939199991408,pawn_shop,4.055,3.497,0.2244,1.0472,480,320,0.528,1.413,0.414,0.999,0.718,1.849,0.001,0.221,1.051,,,5.978,96.2,7958,0,0,0,0,145,14,9,232,352,True
702,1771515504.2748756,7400.886999996146,pawn_shop,4.109,3.474,0.2244,1.0472,480,320,0.507,1.338,0.399,0.939,0.687,1.818,0.001,0.23,1.035,,,5.806,96.2,7959,0,0,0,0,145,14,9,226,346,True
703,1771515504.285878,7411.890999996103,pawn_shop,4.163,3.449,0.2244,1.0472,480,320,0.495,1.328,0.39,0.938,0.681,1.786,0.001,0.268,1.04,,,5.801,96.2,7961,0,0,0,0,145,14,9,220,340,True
704,1771515504.2968805,7422.897299999022,pawn_shop,4.218,3.422,0.2244,1.0472,480,320,0.504,1.291,0.382,0.91,0.688,1.729,0.001,0.19,1.038,,,5.633,96.2,7962,0,0,0,0,145,14,9,213,333,True
705,1771515504.307883,7433.88359999517,pawn_shop,4.273,3.394,0.2244,1.0472,480,320,0.524,1.265,0.368,0.897,0.681,1.689,0.001,0.289,1.043,,,5.694,96.2,7963,0,0,0,0,145,14,9,207,327,True
706,1771515504.3188853,7444.934600003762,pawn_shop,4.328,3.364,0.2244,1.0472,480,320,0.497,1.232,0.36,0.872,0.674,1.708,0.001,0.234,1.037,,,5.576,96.2,7963,0,0,0,0,145,14,9,201,321,True
707,1771515504.329888,7455.974199998309,pawn_shop,4.383,3.333,0.2324,1.0472,480,320,0.53,1.265,0.379,0.886,0.658,1.72,0.001,0.198,1.037,,,5.601,96.2,7963,0,0,0,0,145,14,9,201,321,True
708,1771515504.3408904,7466.9718999939505,pawn_shop,4.439,3.302,0.2444,1.0472,480,320,0.498,1.209,0.357,0.852,0.659,1.712,0.001,0.266,1.037,,,5.576,96.2,7963,0,0,0,0,145,14,9,199,319,True
709,1771515504.351893,7478.0449999962,pawn_shop,4.495,3.302,0.2524,1.0472,480,320,0.567,1.388,0.413,0.975,0.675,1.78,0.001,0.251,1.06,,,5.918,96.2,7964,0,0,0,0,145,14,9,203,323,True
710,1771515504.3618953,7488.005399995018,pawn_shop,4.55,3.302,0.2684,1.0472,480,320,0.506,1.25,0.371,0.88,0.668,1.748,0.001,0.238,1.038,,,5.596,92.6,7964,0,0,0,0,145,14,9,204,324,True
711,1771515504.3728979,7498.980799995479,pawn_shop,4.606,3.302,0.2804,1.0472,480,320,0.499,1.241,0.367,0.874,0.674,1.752,0.001,0.243,1.048,,,5.603,92.6,7964,0,0,0,0,145,14,9,206,326,True
712,1771515504.3839002,7509.977900001104,pawn_shop,4.662,3.302,0.2924,1.0472,480,320,0.487,1.221,0.362,0.859,0.689,1.753,0.001,0.256,1.036,,,5.647,92.6,7964,0,0,0,0,145,14,9,207,327,True
713,1771515504.3949032,7521.101699996507,pawn_shop,4.718,3.302,0.3084,1.0472,480,320,0.578,1.45,0.447,1.002,0.759,2.138,0.002,0.355,1.133,,,6.723,92.6,7964,0,0,0,0,145,14,9,209,329,True
714,1771515504.4049053,7531.073499994818,pawn_shop,4.774,3.302,0.3204,1.0472,480,320,0.611,1.457,0.473,0.984,0.779,1.894,0.001,0.35,1.097,,,6.455,92.6,7964,0,0,0,0,145,14,9,211,331,True
715,1771515504.4159079,7542.067899994436,pawn_shop,4.831,3.302,0.3364,1.0472,480,320,0.589,1.421,0.448,0.973,0.748,1.983,0.001,0.349,1.1,,,6.427,92.6,7964,0,0,0,0,145,14,8,213,333,True
716,1771515504.42691,7553.097700001672,pawn_shop,4.888,3.302,0.3564,1.0472,480,320,0.623,1.496,0.487,1.009,0.798,1.972,0.001,0.348,1.135,,,6.648,92.6,7964,0,0,0,0,145,14,8,217,337,True
717,1771515504.4369123,7563.113500000327,pawn_shop,4.945,3.302,0.3764,1.0472,480,320,0.603,1.502,0.474,1.028,0.792,1.979,0.001,0.368,1.168,,,6.743,92.6,7965,0,0,0,0,145,14,8,220,340,True
718,1771515504.4469147,7573.110999990604,pawn_shop,5.002,3.302,0.3964,1.0472,480,320,0.626,1.495,0.483,1.012,0.807,1.983,0.001,0.3,1.092,,,6.528,92.6,7966,0,0,0,0,145,14,8,222,342,True
719,1771515504.457917,7584.086000002571,pawn_shop,5.059,3.302,0.4244,1.0472,480,320,0.525,1.339,0.399,0.941,0.796,1.977,0.001,0.214,1.1,,,6.164,92.6,7966,0,0,0,0,145,14,8,223,343,True
720,1771515504.4679193,7594.0453999937745,pawn_shop,5.117,3.302,0.4484,1.0472,480,320,0.516,1.331,0.395,0.937,0.816,1.961,0.001,0.246,1.079,,,6.17,94.3,7966,0,0,0,0,145,14,8,225,345,True
721,1771515504.4779215,7604.045200001565,pawn_shop,5.174,3.302,0.4764,1.0472,480,320,0.53,1.338,0.394,0.945,0.845,2.004,0.001,0.269,1.087,,,6.319,94.3,7966,0,0,0,0,145,14,8,228,348,True
722,1771515504.4879236,7614.079499995569,pawn_shop,5.232,3.302,0.5164,1.0472,480,320,0.533,1.382,0.404,0.978,0.878,2.016,0.001,0.207,1.082,,,6.311,94.3,7966,0,0,0,0,145,14,8,231,351,True
723,1771515504.4979262,7624.067800003104,pawn_shop,5.289,3.302,0.5524,1.0472,480,320,0.51,1.35,0.4,0.95,0.878,2.036,0.001,0.229,1.071,,,6.318,94.3,7966,0,0,0,0,145,14,8,234,354,True
724,1771515504.5079284,7634.069699997781,pawn_shop,5.347,3.283,0.5924,1.0472,480,320,0.519,1.354,0.401,0.953,0.919,2.039,0.001,0.232,1.071,,,6.353,94.3,7966,0,0,0,0,145,14,8,237,357,True
725,1771515504.5179305,7644.090599991614,pawn_shop,5.405,3.266,0.6284,1.0472,480,320,0.525,1.394,0.409,0.984,0.881,2.076,0.001,0.211,1.063,,,6.355,94.3,7967,0,0,0,0,145,14,8,238,358,True
726,1771515504.527933,7654.076199993142,pawn_shop,5.463,3.251,0.6644,1.0472,480,320,0.534,1.388,0.408,0.98,0.861,2.092,0.001,0.225,1.093,,,6.403,94.3,7967,0,0,0,0,145,14,8,233,353,True
